time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
2009-01-01,-107.04,58.54,16.00,20.00,29.40,14.30,20.50,29.40,15.00,24.50,31.00
2010-01-01,-107.04,58.54,13.30,19.00,36.50,16.00,20.00,34.80,13.60,21.50,41.40
2011-01-01,-107.04,58.54,14.60,20.50,28.00,14.00,18.00,31.40,16.30,19.00,27.00
2012-01-01,-107.04,58.54,17.00,21.00,30.10,15.30,22.00,27.70,13.60,20.50,30.00
2013-01-01,-107.04,58.54,16.00,19.50,27.70,14.30,19.50,26.40,16.00,20.50,27.70
2014-01-01,-107.04,58.54,14.30,21.00,31.10,16.30,21.00,26.00,13.60,19.50,30.80
2015-01-01,-107.04,58.54,13.90,21.00,32.70,13.30,19.00,29.70,15.30,20.00,33.10
2016-01-01,-107.04,58.54,15.00,22.00,28.70,17.00,23.00,31.10,14.60,21.00,27.00
2017-01-01,-107.04,58.54,15.00,20.50,30.10,15.60,22.50,31.40,13.00,19.50,27.50
2018-01-01,-107.04,58.54,16.30,22.50,33.00,15.30,22.00,31.70,15.30,21.00,35.30
2019-01-01,-107.04,58.54,17.30,25.00,32.00,17.00,22.50,30.70,17.00,21.00,35.10
2020-01-01,-107.04,58.54,16.00,20.00,30.40,15.00,20.00,29.00,14.60,20.00,32.80
2021-01-01,-107.04,58.54,15.30,21.50,27.70,14.00,24.00,39.00,15.30,21.50,29.80
2022-01-01,-107.04,58.54,14.30,23.00,32.00,16.00,21.50,32.70,15.00,20.00,25.00
2023-01-01,-107.04,58.54,14.00,20.50,31.40,15.00,17.50,25.00,14.00,21.00,31.40
2024-01-01,-107.04,58.54,15.30,20.00,38.10,14.00,20.50,31.50,14.60,17.00,31.10
2025-01-01,-107.04,58.54,15.30,21.00,30.40,16.30,21.00,31.40,14.30,20.00,26.10
2026-01-01,-107.04,58.54,15.00,22.00,33.40,16.30,22.00,35.30,16.00,18.50,25.70
2027-01-01,-107.04,58.54,14.00,18.00,27.00,16.00,21.50,30.90,14.00,21.50,30.70
