"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"2046-01-01",,,,660.81,527.48,803.32,623.07,470.27,833.65,624.8,511.64,788.21
"2047-01-01",,,,645.3,517.39,767.84,660.2,539.65,817.74,607.68,487.79,802.53
"2048-01-01",,,,668.7,558.35,782.55,594.63,424.75,770.93,676.16,491.94,796.13
"2049-01-01",,,,617.49,486.18,772.24,637.98,560.61,809.58,600.18,401.64,822.09
"2050-01-01",,,,592.34,485.87,790.31,637.87,547.96,818.64,605.8,521.29,847.01
"2051-01-01",,,,630.97,497.51,751.95,607.73,423.68,833.11,650.51,526.37,843.31
"2052-01-01",,,,610,434.86,813.25,663.73,564.65,755.53,642.84,493.09,796.21
"2053-01-01",,,,685.41,520.63,847.86,586.3,472,760.79,637.34,464.61,776.57
"2054-01-01",,,,611.58,483.1,788.21,678.66,480.15,825.2,631.5,480.79,805.3
"2055-01-01",,,,576.74,483.49,696.87,673.97,505.78,820.03,653.26,524.46,826.81
"2056-01-01",,,,651.76,516.1,785.04,641.53,492.53,789.83,580.65,487.02,729.31
"2057-01-01",,,,662.17,486.94,759.89,638.37,424.22,779.59,596.61,440.35,817.32
"2058-01-01",,,,649.49,502.67,808.31,642.73,510.92,865.6,687.77,521.19,911.72
"2059-01-01",,,,669.67,496.97,781.33,668.74,475.67,783.3,656.98,516.66,800.09
"2060-01-01",,,,579.8,488.37,824.19,632.12,509.29,864.4,697.41,562.64,922.67
"2061-01-01",,,,653.36,504.04,865,642.75,458.7,941.31,651.67,552.15,901.7
"2062-01-01",,,,629.52,549.5,823.38,621.62,532.54,773,677.38,528.27,949.84
"2063-01-01",,,,645.22,460.14,803.71,629.57,460.6,856.71,693.69,564.67,845.96
"2064-01-01",,,,631.8,479.21,724.4,670.87,496.44,778.6,671.08,599.46,828.85
"2065-01-01",,,,629.82,542.34,833.11,678.86,566.27,816.19,634.78,442.55,789.19
"2066-01-01",,,,635.68,520.94,823.44,652.02,531.07,864.82,667.62,541.05,825.73
"2067-01-01",,,,664.09,573.25,880.51,629.2,477.32,887.47,716.39,545.38,856.99
"2068-01-01",,,,606.21,443.89,817.17,620.61,527.83,823.01,668.77,490.13,854.57
"2069-01-01",,,,634.9,496.19,788.89,615.4,455.23,769.14,686.75,532.13,869.02
"2070-01-01",,,,682.04,499.71,831.64,666.23,564.62,826.96,648.25,476.62,887.55
"2071-01-01",,,,667.54,485.61,728.88,581.16,482.94,797.89,651.35,493.51,796.4
"2072-01-01",,,,657.66,492.81,799.07,637.99,508.69,784.6,653.95,491.4,872.29
"2073-01-01",,,,612.87,453.04,753.57,648.52,551.81,876.44,648.71,434.11,811.55
"2074-01-01",,,,622.41,471.7,815.02,646.65,492.27,792.89,697.14,542.26,798.28
"2075-01-01",,,,614.78,488.24,734.07,563.03,442.98,702.42,707.78,535.64,865.77
"2076-01-01",,,,595.55,484.17,719.79,598.68,502.99,744.35,692.51,523.19,826.78
"2077-01-01",,,,685.33,543.59,813.02,652.22,442.54,778.24,649,524.86,860.65
"2078-01-01",,,,658.14,541.29,838.31,647.44,549.9,811.51,665.45,489.93,801.15
"2079-01-01",,,,609.4,445.79,767.42,616.61,484.4,779.75,710.18,449.91,877.63
"2080-01-01",,,,593.51,472.53,811.79,637.81,506.73,766.21,644.1,460.91,906.23
"2081-01-01",,,,615.29,468.92,765.58,685.99,519.18,928.49,661.16,499.84,838.81
"2082-01-01",,,,655.08,517.28,779.27,671.88,476.08,822.13,618.21,456.43,836.1
"2083-01-01",,,,664.98,559.78,843.7,650.45,535.97,809.8,692.42,519.35,866.96
"2084-01-01",,,,617.62,554.46,732.14,666.94,456.81,832.09,612.28,489.75,867.87
"2085-01-01",,,,606.91,495.21,705.63,707.66,526.74,818.2,675.03,568.49,787.11
"2086-01-01",,,,649.56,496.33,735.89,646.88,480.47,786.54,644.7,537.15,776.07
"2087-01-01",,,,650.14,518.53,777.74,653.35,506.68,826.77,693.2,537.02,879.03
"2088-01-01",,,,680,470.01,796.51,619,546.46,785.36,673.91,477.51,823.06
"2089-01-01",,,,635.43,507.43,857.26,656.28,536.47,865.64,684.1,558.5,864.51
"2090-01-01",,,,615.82,505.73,869.15,678.66,541.16,885.69,679.68,531.05,888.62
"2091-01-01",,,,642.96,488.59,729.72,626.8,494.6,779.59,705.59,477.69,865.39
"2092-01-01",,,,657.07,491.43,841.81,608.34,504.07,812.16,691.33,504.72,932.78
"2093-01-01",,,,652.38,552.43,818.96,684.65,568.16,812.41,624.79,505.66,873.58
"2094-01-01",,,,636.11,538.67,751.92,628.21,546.37,730.88,692.35,543.74,866.29
"2095-01-01",,,,633.51,477.35,781.58,602.85,483.25,816.62,696.31,515.21,954.06
"2096-01-01",,,,636.59,471.41,794.58,696.29,484.6,854.11,721.64,528.62,988.42
"2097-01-01",,,,667.77,513.16,830.29,626.52,497.02,804.64,704.97,513.74,820.26
"2098-01-01",,,,635.24,518.56,847.44,637.71,482.75,876.45,699.2,539.64,830.81
"2099-01-01",,,,562.52,473.34,753.96,631.99,520.7,787.52,709.17,461.04,885.51
"2100-01-01",,,,635.98,488.53,808.59,682.95,543.92,827.29,637.03,464.09,856.72
